antecedent_verb	antecedent_polarity	antecedent_frame	target	consequent_verb	consequent_embedded_tense	antecedent_text	response_normalized
attest	positive	NP V to NP that S	object	want	past	A attested to B that C happened	0.5609081983566284
despair	positive	NP V that S	subject	believe	past	A despaired that C happened	0.8694875240325928
desire	positive	NP V that S	subject	believe	past	A desired that C happened	0.5389103293418884
blare	positive	NP V that S	subject	want	past	A blared that C happened	0.48511776328086853
correct	negative	NP V that S[+future]	subject	want	future	A didn't correct that C would happen	0.4750361442565918
claim	positive	NP V to NP that S[+future]	subject	believe	future	A claimed to B that C would happen	0.8617615103721619
hate	positive	NP V that S	subject	believe	past	A hated that C happened	0.9344643354415894
press	positive	NP be V that S	subject	believe	past	A was pressed that C happened	0.7686756253242493
advise	positive	NP V to NP that S[+future]	subject	want	future	A advised to B that C would happen	0.5345931649208069
vex	positive	NP be V that S	subject	want	past	A was vexed that C happened	0.09892911463975906
reconsider	negative	NP V that S[+future]	subject	want	future	A didn't reconsider that C would happen	0.37232786417007446
estimate	negative	NP V that S[+future]	subject	believe	future	A didn't estimate that C would happen	0.1723850518465042
marvel	negative	NP be V that S	subject	believe	past	A wasn't marvelled that C happened	0.8566112518310547
consent	negative	NP V that S[+future]	subject	want	future	A didn't consent that C would happen	0.17070339620113373
resolve	positive	NP V that S	subject	want	past	A resolved that C happened	0.5852612257003784
command	negative	NP V that S[+future]	subject	want	future	A didn't command that C would happen	0.35694459080696106
disgrace	negative	NP be V that S	subject	believe	past	A wasn't disgraced that C happened	0.8116944432258606
deplore	negative	NP V that S[+future]	subject	want	future	A didn't deplore that C would happen	0.6038623452186584
convey	positive	NP V that S	subject	want	past	A conveyed that C happened	0.5539822578430176
cry	negative	NP V that S[+future]	subject	believe	future	A didn't cry that C would happen	0.6052001714706421
propose	negative	NP V to NP that S[-tense]	object	believe	future	A didn't propose to B that C happen	0.4209578037261963
formulate	negative	NP V to NP that S[+future]	subject	want	future	A didn't formulate to B that C would happen	0.43350949883461
assure	positive	NP V NP that S[+future]	subject	believe	future	A assured B that C would happen	0.8928583860397339
pain	positive	NP be V that S[+future]	subject	believe	future	A was pained that C would happen	0.7526699304580688
swear	positive	NP be V that S	subject	believe	past	A was sworn that C happened	0.9063860177993774
gab	negative	NP V to NP that S[+future]	object	believe	future	A didn't gab to B that C would happen	0.41458117961883545
reconstruct	negative	NP V that S	subject	believe	past	A didn't reconstruct that C happened	0.566267728805542
contest	negative	NP V that S	subject	want	past	A didn't contest that C happened	0.4328688979148865
predict	negative	NP V to NP that S	object	want	past	A didn't predict to B that C happened	0.4146325886249542
remark	positive	NP V to NP that S	object	believe	past	A remarked to B that C happened	0.7411989569664001
instruct	positive	NP V that S	subject	believe	past	A instructed that C happened	0.914029598236084
address	negative	NP be V that S	subject	want	past	A wasn't addressed that C happened	0.38279053568840027
admit	positive	NP V to NP that S[+future]	subject	want	future	A admitted to B that C would happen	0.5408710241317749
persuade	negative	NP V that S[+future]	subject	believe	future	A didn't persuade that C would happen	0.34515902400016785
prejudge	positive	NP V that S	subject	want	past	A prejudged that C happened	0.6656931042671204
terrify	positive	NP be V that S[+future]	subject	want	future	A was terrified that C would happen	0.03822183609008789
scream	negative	NP V to NP that S[+future]	object	believe	future	A didn't scream to B that C would happen	0.45966437458992004
tell	positive	NP V NP that S[+future]	subject	believe	future	A told B that C would happen	0.9307554960250854
test	negative	NP V that S[+future]	subject	believe	future	A didn't test that C would happen	0.4035850465297699
mortify	positive	NP be V that S[+future]	subject	believe	future	A was mortified that C would happen	0.6524994373321533
yearn	negative	NP V that S[+future]	subject	believe	future	A didn't yearn that C would happen	0.32139769196510315
cry	positive	NP V that S	subject	want	past	A cried that C happened	0.08170929551124573
express	negative	NP V to NP that S[+future]	object	want	future	A didn't express to B that C would happen	0.4041680693626404
sob	negative	NP V to NP that S[+future]	subject	believe	future	A didn't sob to B that C would happen	0.5072001814842224
tease	negative	NP V that S	subject	want	past	A didn't tease that C happened	0.45485228300094604
dissatisfy	negative	NP be V that S[+future]	subject	want	future	A wasn't dissatisfied that C would happen	0.8131018280982971
dictate	positive	NP V that S	subject	believe	past	A dictated that C happened	0.9110611081123352
bet	negative	NP V to NP that S	subject	want	past	A didn't bet to B that C happened	0.2300521582365036
rebuke	negative	NP be V that S[+future]	subject	want	future	A wasn't rebuked that C would happen	0.48154547810554504
blog	negative	NP V that S	subject	believe	past	A didn't blog that C happened	0.3128916621208191
demand	negative	NP V that S[+future]	subject	believe	future	A didn't demand that C would happen	0.4980742335319519
exclaim	negative	NP V to NP that S[+future]	object	believe	future	A didn't exclaim to B that C would happen	0.4126830995082855
disagree	positive	NP V that S	subject	want	past	A disagreed that C happened	0.2319100797176361
obsess	positive	NP be V that S	subject	want	past	A was obsessed that C happened	0.8801050782203674
fess_up	negative	NP V that S	subject	believe	past	A didn't fess up that C happened	0.8872488737106323
murmur	negative	NP V that S	subject	believe	past	A didn't murmur that C happened	0.4815205931663513
believe	negative	NP V that S	subject	want	past	A didn't believe that C happened	0.27047500014305115
alert	negative	NP V to NP that S[+future]	subject	believe	future	A didn't alert to B that C would happen	0.5402755737304688
contend	negative	NP V that S	subject	want	past	A didn't contend that C happened	0.4126555919647217
wager	negative	NP V to NP that S[+future]	object	want	future	A didn't wager to B that C would happen	0.5382511615753174
fret	negative	NP V to NP that S[+future]	object	believe	future	A didn't fret to B that C would happen	0.6294387578964233
update	negative	NP V that S	subject	believe	past	A didn't update that C happened	0.5349774360656738
hallucinate	positive	NP V that S[+future]	subject	believe	future	A hallucinated that C would happen	0.7416276931762695
advise	positive	NP V to NP that S[+future]	object	believe	future	A advised to B that C would happen	0.7171111702919006
induce	negative	NP V that S[+future]	subject	want	future	A didn't induce that C would happen	0.4038492739200592
email	positive	NP V that S[+future]	subject	believe	future	A emailed that C would happen	0.8507122993469238
mortify	positive	NP be V that S	subject	believe	past	A was mortified that C happened	0.8384620547294617
predict	negative	NP V that S[+future]	subject	want	future	A didn't predict that C would happen	0.41198375821113586
scrutinize	negative	NP V that S	subject	want	past	A didn't scrutinize that C happened	0.5509509444236755
hint	negative	NP V to NP that S[+future]	subject	want	future	A didn't hint to B that C would happen	0.4179915189743042
realize	negative	NP V that S	subject	believe	past	A didn't realize that C happened	0.28380849957466125
write	positive	NP V NP that S	object	want	past	A wrote B that C happened	0.5911868810653687
restate	positive	NP V that S[-tense]	subject	want	future	A restated that C happen	0.6263532638549805
simulate	positive	NP be V that S	subject	want	past	A was simulated that C happened	0.6860843300819397
assure	positive	NP V NP that S[+future]	subject	want	future	A assured B that C would happen	0.7246089577674866
resolve	positive	NP V that S	subject	believe	past	A resolved that C happened	0.8374052047729492
reminisce	negative	NP V that S[+future]	subject	want	future	A didn't reminisce that C would happen	0.35025888681411743
gall	positive	NP be V that S	subject	believe	past	A was galled that C happened	0.7117792963981628
perceive	positive	NP V that S	subject	believe	past	A perceived that C happened	0.8661699891090393
trick	positive	NP be V that S[+future]	subject	believe	future	A was tricked that C would happen	0.8619402647018433
fax	positive	NP V NP that S[+future]	object	believe	future	A faxed B that C would happen	0.7049726843833923
mislead	positive	NP V that S	subject	want	past	A misled that C happened	0.6918115615844727
murmur	positive	NP V that S[+future]	subject	believe	future	A murmured that C would happen	0.6578298211097717
hope	positive	NP V that S	subject	want	past	A hoped that C happened	0.9316234588623047
conceal	positive	NP V that S	subject	want	past	A concealed that C happened	0.3357617259025574
contribute	positive	NP V that S[+future]	subject	believe	future	A contributed that C would happen	0.8231785893440247
televise	positive	NP V that S	subject	believe	past	A televised that C happened	0.8956267237663269
scowl	positive	NP V that S	subject	want	past	A scowled that C happened	0.07520102709531784
consult	negative	NP be V that S	subject	want	past	A wasn't consulted that C happened	0.4916040599346161
direct	positive	NP V that S[-tense]	subject	believe	future	A directed that C happen	0.7880921363830566
dare	negative	NP V NP that S[+future]	object	want	future	A didn't dare B that C would happen	0.573180615901947
imply	negative	NP V to NP that S	object	want	past	A didn't imply to B that C happened	0.48903539776802063
inquire	positive	NP V that S	subject	want	past	A inquired that C happened	0.6820169687271118
formulate	positive	NP V that S[+future]	subject	want	future	A formulated that C would happen	0.6097469329833984
taunt	positive	NP be V that S	subject	believe	past	A was taunted that C happened	0.8385140895843506
cringe	negative	NP be V that S[+future]	subject	want	future	A wasn't cringed that C would happen	0.478583961725235
recall	negative	NP V to NP that S	subject	believe	past	A didn't recall to B that C happened	0.42789965867996216
